Ward_ID,Ward_Name,Zone,Administrative_Body,Latitude,Longitude,Elevation_m,Landscape_Type,Land_Use_Category,Water_Body_Proximity,Impervious_Surface_Percent,Water_Surface_Percent,Green_Cover_Baseline_Percent,Month,Season,Seasonal_Green_Cover_Percent
15,Alipore,South,KMC,22.535,88.33,8,"Green/institutional, elevated",Institutional/Green,No,64,1,35,2025-11,Post-Monsoon,31.5
15,Alipore,South,KMC,22.535,88.33,8,"Green/institutional, elevated",Institutional/Green,No,64,1,35,2025-12,Winter,26.2
15,Alipore,South,KMC,22.535,88.33,8,"Green/institutional, elevated",Institutional/Green,No,64,1,35,2026-01,Winter,24.5
15,Alipore,South,KMC,22.535,88.33,8,"Green/institutional, elevated",Institutional/Green,No,64,1,35,2026-02,Winter,26.2
15,Alipore,South,KMC,22.535,88.33,8,"Green/institutional, elevated",Institutional/Green,No,64,1,35,2026-03,Pre-Monsoon,28
15,Alipore,South,KMC,22.535,88.33,8,"Green/institutional, elevated",Institutional/Green,No,64,1,35,2026-04,Pre-Monsoon,29.8
15,Alipore,South,KMC,22.535,88.33,8,"Green/institutional, elevated",Institutional/Green,No,64,1,35,2026-05,Pre-Monsoon,31.5
15,Alipore,South,KMC,22.535,88.33,8,"Green/institutional, elevated",Institutional/Green,No,64,1,35,2026-06,Monsoon,36.8
15,Alipore,South,KMC,22.535,88.33,8,"Green/institutional, elevated",Institutional/Green,No,64,1,35,2026-07,Monsoon,42
15,Alipore,South,KMC,22.535,88.33,8,"Green/institutional, elevated",Institutional/Green,No,64,1,35,2026-08,Monsoon,43.8
16,Ballygunge,South Central,KMC,22.528,88.366,6,Affluent residential,Residential (Affluent),No,81,1,18,2025-09,Monsoon (retreating),20.7
16,Ballygunge,South Central,KMC,22.528,88.366,6,Affluent residential,Residential (Affluent),No,81,1,18,2025-10,Post-Monsoon,18.9
16,Ballygunge,South Central,KMC,22.528,88.366,6,Affluent residential,Residential (Affluent),No,81,1,18,2025-11,Post-Monsoon,16.2
16,Ballygunge,South Central,KMC,22.528,88.366,6,Affluent residential,Residential (Affluent),No,81,1,18,2025-12,Winter,13.5
16,Ballygunge,South Central,KMC,22.528,88.366,6,Affluent residential,Residential (Affluent),No,81,1,18,2026-01,Winter,12.6
16,Ballygunge,South Central,KMC,22.528,88.366,6,Affluent residential,Residential (Affluent),No,81,1,18,2026-02,Winter,13.5
16,Ballygunge,South Central,KMC,22.528,88.366,6,Affluent residential,Residential (Affluent),No,81,1,18,2026-03,Pre-Monsoon,14.4
16,Ballygunge,South Central,KMC,22.528,88.366,6,Affluent residential,Residential (Affluent),No,81,1,18,2026-04,Pre-Monsoon,15.3
16,Ballygunge,South Central,KMC,22.528,88.366,6,Affluent residential,Residential (Affluent),No,81,1,18,2026-05,Pre-Monsoon,16.2
16,Ballygunge,South Central,KMC,22.528,88.366,6,Affluent residential,Residential (Affluent),No,81,1,18,2026-06,Monsoon,18.9
16,Ballygunge,South Central,KMC,22.528,88.366,6,Affluent residential,Residential (Affluent),No,81,1,18,2026-07,Monsoon,21.6
16,Ballygunge,South Central,KMC,22.528,88.366,6,Affluent residential,Residential (Affluent),No,81,1,18,2026-08,Monsoon,22.5
17,Maniktala,North Central,KMC,22.585,88.38,5,Dense residential,Residential (Dense),No,92,0,8,2025-09,Monsoon (retreating),9.2
17,Maniktala,North Central,KMC,22.585,88.38,5,Dense residential,Residential (Dense),No,92,0,8,2025-10,Post-Monsoon,8.4
17,Maniktala,North Central,KMC,22.585,88.38,5,Dense residential,Residential (Dense),No,92,0,8,2025-11,Post-Monsoon,7.2
17,Maniktala,North Central,KMC,22.585,88.38,5,Dense residential,Residential (Dense),No,92,0,8,2025-12,Winter,6
17,Maniktala,North Central,KMC,22.585,88.38,5,Dense residential,Residential (Dense),No,92,0,8,2026-01,Winter,5.6
17,Maniktala,North Central,KMC,22.585,88.38,5,Dense residential,Residential (Dense),No,92,0,8,2026-02,Winter,6
17,Maniktala,North Central,KMC,22.585,88.38,5,Dense residential,Residential (Dense),No,92,0,8,2026-03,Pre-Monsoon,6.4
17,Maniktala,North Central,KMC,22.585,88.38,5,Dense residential,Residential (Dense),No,92,0,8,2026-04,Pre-Monsoon,6.8
17,Maniktala,North Central,KMC,22.585,88.38,5,Dense residential,Residential (Dense),No,92,0,8,2026-05,Pre-Monsoon,7.2
17,Maniktala,North Central,KMC,22.585,88.38,5,Dense residential,Residential (Dense),No,92,0,8,2026-06,Monsoon,8.4
17,Maniktala,North Central,KMC,22.585,88.38,5,Dense residential,Residential (Dense),No,92,0,8,2026-07,Monsoon,9.6
17,Maniktala,North Central,KMC,22.585,88.38,5,Dense residential,Residential (Dense),No,92,0,8,2026-08,Monsoon,10
18,Entally,Central East,KMC,22.562,88.37,4,Dense low-lying residential,"Residential (Dense, low-lying)",No,93,0,7,2025-09,Monsoon (retreating),8
18,Entally,Central East,KMC,22.562,88.37,4,Dense low-lying residential,"Residential (Dense, low-lying)",No,93,0,7,2025-10,Post-Monsoon,7.4
18,Entally,Central East,KMC,22.562,88.37,4,Dense low-lying residential,"Residential (Dense, low-lying)",No,93,0,7,2025-11,Post-Monsoon,6.3
18,Entally,Central East,KMC,22.562,88.37,4,Dense low-lying residential,"Residential (Dense, low-lying)",No,93,0,7,2025-12,Winter,5.2
18,Entally,Central East,KMC,22.562,88.37,4,Dense low-lying residential,"Residential (Dense, low-lying)",No,93,0,7,2026-01,Winter,4.9
18,Entally,Central East,KMC,22.562,88.37,4,Dense low-lying residential,"Residential (Dense, low-lying)",No,93,0,7,2026-02,Winter,5.2
18,Entally,Central East,KMC,22.562,88.37,4,Dense low-lying residential,"Residential (Dense, low-lying)",No,93,0,7,2026-03,Pre-Monsoon,5.6
18,Entally,Central East,KMC,22.562,88.37,4,Dense low-lying residential,"Residential (Dense, low-lying)",No,93,0,7,2026-04,Pre-Monsoon,6
18,Entally,Central East,KMC,22.562,88.37,4,Dense low-lying residential,"Residential (Dense, low-lying)",No,93,0,7,2026-05,Pre-Monsoon,6.3
18,Entally,Central East,KMC,22.562,88.37,4,Dense low-lying residential,"Residential (Dense, low-lying)",No,93,0,7,2026-06,Monsoon,7.4
18,Entally,Central East,KMC,22.562,88.37,4,Dense low-lying residential,"Residential (Dense, low-lying)",No,93,0,7,2026-07,Monsoon,8.4
18,Entally,Central East,KMC,22.562,88.37,4,Dense low-lying residential,"Residential (Dense, low-lying)",No,93,0,7,2026-08,Monsoon,8.8
