Ward_ID,Ward_Name,Zone,Administrative_Body,Latitude,Longitude,Landscape_Type,Water_Body_Proximity,Month,Season,Avg_Humidity_Percent,Citywide_Normal_Humidity_Percent,Deviation_from_Normal_Percent,Humidity_Category,Avg_Temperature_C_Reference,Heat_Index_C
15,Alipore,South,KMC,22.535,88.33,"Green/institutional, elevated",No,2026-03,Pre-Monsoon,56.5,58,-2.5,Moderate,26.2,26.3
15,Alipore,South,KMC,22.535,88.33,"Green/institutional, elevated",No,2026-04,Pre-Monsoon,65,65,-0.1,Moderate,30.1,34.2
15,Alipore,South,KMC,22.535,88.33,"Green/institutional, elevated",No,2026-05,Pre-Monsoon,72.1,70,3,High,29.7,34.8
15,Alipore,South,KMC,22.535,88.33,"Green/institutional, elevated",No,2026-06,Monsoon,80.2,79,1.5,Very High,29.8,37.1
15,Alipore,South,KMC,22.535,88.33,"Green/institutional, elevated",No,2026-07,Monsoon,86.3,84,2.8,Very High,29.6,38.3
15,Alipore,South,KMC,22.535,88.33,"Green/institutional, elevated",No,2026-08,Monsoon,87.4,85,2.8,Very High,29.1,36.7
16,Ballygunge,South Central,KMC,22.528,88.366,Affluent residential,No,2025-09,Monsoon (retreating),85.6,83,3.1,Very High,29,36.1
16,Ballygunge,South Central,KMC,22.528,88.366,Affluent residential,No,2025-10,Post-Monsoon,77.3,76,1.7,High,27.4,30.4
16,Ballygunge,South Central,KMC,22.528,88.366,Affluent residential,No,2025-11,Post-Monsoon,68.2,65,4.9,High,23.1,23.3
16,Ballygunge,South Central,KMC,22.528,88.366,Affluent residential,No,2025-12,Winter,57.1,58,-1.5,Moderate,19.1,18.6
16,Ballygunge,South Central,KMC,22.528,88.366,Affluent residential,No,2026-01,Winter,56.6,58,-2.4,Moderate,20.1,19.6
16,Ballygunge,South Central,KMC,22.528,88.366,Affluent residential,No,2026-02,Winter,60.1,57,5.5,Moderate,23.2,23.2
16,Ballygunge,South Central,KMC,22.528,88.366,Affluent residential,No,2026-03,Pre-Monsoon,53.6,58,-7.6,Moderate,26.1,26.2
16,Ballygunge,South Central,KMC,22.528,88.366,Affluent residential,No,2026-04,Pre-Monsoon,65.5,65,0.8,High,30.4,34.9
16,Ballygunge,South Central,KMC,22.528,88.366,Affluent residential,No,2026-05,Pre-Monsoon,69.8,70,-0.3,High,30.4,36
16,Ballygunge,South Central,KMC,22.528,88.366,Affluent residential,No,2026-06,Monsoon,78.9,79,-0.1,High,29.6,36.1
16,Ballygunge,South Central,KMC,22.528,88.366,Affluent residential,No,2026-07,Monsoon,86.9,84,3.4,Very High,28.2,34
16,Ballygunge,South Central,KMC,22.528,88.366,Affluent residential,No,2026-08,Monsoon,86.1,85,1.3,Very High,29.3,37
17,Maniktala,North Central,KMC,22.585,88.38,Dense residential,No,2025-09,Monsoon (retreating),84.4,83,1.7,Very High,29.1,36.1
17,Maniktala,North Central,KMC,22.585,88.38,Dense residential,No,2025-10,Post-Monsoon,75.9,76,-0.1,High,28.1,31.7
17,Maniktala,North Central,KMC,22.585,88.38,Dense residential,No,2025-11,Post-Monsoon,63.7,65,-2,Moderate,23.5,23.6
17,Maniktala,North Central,KMC,22.585,88.38,Dense residential,No,2025-12,Winter,54.8,58,-5.5,Moderate,17.5,16.8
17,Maniktala,North Central,KMC,22.585,88.38,Dense residential,No,2026-01,Winter,57.9,58,-0.2,Moderate,19.4,18.9
17,Maniktala,North Central,KMC,22.585,88.38,Dense residential,No,2026-02,Winter,56.6,57,-0.8,Moderate,23.5,23.4
17,Maniktala,North Central,KMC,22.585,88.38,Dense residential,No,2026-03,Pre-Monsoon,56.6,58,-2.4,Moderate,26.9,27.7
17,Maniktala,North Central,KMC,22.585,88.38,Dense residential,No,2026-04,Pre-Monsoon,63.9,65,-1.8,Moderate,30.4,34.5
17,Maniktala,North Central,KMC,22.585,88.38,Dense residential,No,2026-05,Pre-Monsoon,68.7,70,-1.8,High,30,34.8
17,Maniktala,North Central,KMC,22.585,88.38,Dense residential,No,2026-06,Monsoon,81.1,79,2.7,Very High,30.4,39.2
17,Maniktala,North Central,KMC,22.585,88.38,Dense residential,No,2026-07,Monsoon,82.6,84,-1.6,Very High,30.2,39.2
17,Maniktala,North Central,KMC,22.585,88.38,Dense residential,No,2026-08,Monsoon,84.4,85,-0.8,Very High,28.7,34.8
18,Entally,Central East,KMC,22.562,88.37,Dense low-lying residential,No,2025-09,Monsoon (retreating),87.3,83,5.2,Very High,29,36.4
18,Entally,Central East,KMC,22.562,88.37,Dense low-lying residential,No,2025-10,Post-Monsoon,77.2,76,1.6,High,27.1,29.6
18,Entally,Central East,KMC,22.562,88.37,Dense low-lying residential,No,2025-11,Post-Monsoon,66.3,65,2,High,23.2,23.4
18,Entally,Central East,KMC,22.562,88.37,Dense low-lying residential,No,2025-12,Winter,58.4,58,0.8,Moderate,18.1,17.5
18,Entally,Central East,KMC,22.562,88.37,Dense low-lying residential,No,2026-01,Winter,57.9,58,-0.1,Moderate,20.6,20.3
18,Entally,Central East,KMC,22.562,88.37,Dense low-lying residential,No,2026-02,Winter,60,57,5.2,Moderate,22.1,21.9
18,Entally,Central East,KMC,22.562,88.37,Dense low-lying residential,No,2026-03,Pre-Monsoon,58.5,58,0.9,Moderate,27.3,28.3
18,Entally,Central East,KMC,22.562,88.37,Dense low-lying residential,No,2026-04,Pre-Monsoon,66.1,65,1.7,High,30.7,35.7
18,Entally,Central East,KMC,22.562,88.37,Dense low-lying residential,No,2026-05,Pre-Monsoon,66.5,70,-5,High,30.7,35.8
18,Entally,Central East,KMC,22.562,88.37,Dense low-lying residential,No,2026-06,Monsoon,78.1,79,-1.2,High,30.7,39.2
18,Entally,Central East,KMC,22.562,88.37,Dense low-lying residential,No,2026-07,Monsoon,81.4,84,-3.1,Very High,29,35.2
18,Entally,Central East,KMC,22.562,88.37,Dense low-lying residential,No,2026-08,Monsoon,88,85,3.5,Very High,28.7,35.7
